,name,merchant,price,url,description,image
0,BCBGeneration Satin Piped Long Vest,BCBGeneration,59.0,https://click.linksynergy.com/link?id=qPknzHQ/PmE&offerid=498776.14055837260&type=2&murl=https%3A%2F%2Fwww.bcbgeneration.com%2FZXD4K356-001.html,BCBGeneration Satin Piped Long Vest,https://www.bcbgeneration.com/dw/image/v2/AAXX_PRD/on/demandware.static/-/Sites-bcbgeneration-site-catalog/default/dwf9cf1c76/images/large/ZXD4K356_001.jpg?sw=500&sh=791&sm=fit
1,BCBGeneration Seamed Ponte Legging,BCBGeneration,44.0,https://click.linksynergy.com/link?id=qPknzHQ/PmE&offerid=498776.14055837260&type=2&murl=https%3A%2F%2Fwww.bcbgeneration.com%2FZXD4K356-001.html,BCBGeneration Seamed Ponte Legging,https://www.bcbgeneration.com/dw/image/v2/AAXX_PRD/on/demandware.static/-/Sites-bcbgeneration-site-catalog/default/dwf9cf1c76/images/large/ZXD4K356_001.jpg?sw=500&sh=791&sm=fit
2,BCBGeneration Satin Piped Long Vest,BCBGeneration,59.0,https://click.linksynergy.com/link?id=qPknzHQ/PmE&offerid=498776.14055837260&type=2&murl=https%3A%2F%2Fwww.bcbgeneration.com%2FZXD4K356-001.html,BCBGeneration Satin Piped Long Vest,https://www.bcbgeneration.com/dw/image/v2/AAXX_PRD/on/demandware.static/-/Sites-bcbgeneration-site-catalog/default/dwf9cf1c76/images/large/ZXD4K356_001.jpg?sw=500&sh=791&sm=fit
3,BCBGeneration Rebellion Wrap Top,BCBGeneration,39.0,https://click.linksynergy.com/link?id=qPknzHQ/PmE&offerid=498776.14055837260&type=2&murl=https%3A%2F%2Fwww.bcbgeneration.com%2FZXD4K356-001.html,BCBGeneration Rebellion Wrap Top,https://www.bcbgeneration.com/dw/image/v2/AAXX_PRD/on/demandware.static/-/Sites-bcbgeneration-site-catalog/default/dwf9cf1c76/images/large/ZXD4K356_001.jpg?sw=500&sh=791&sm=fit
4,BCBGeneration Daisy Eyelet Halter Crop Top,BCBGeneration,68.0,https://click.linksynergy.com/link?id=qPknzHQ/PmE&offerid=498776.14055837207&type=2&murl=https%3A%2F%2Fwww.bcbgeneration.com%2FYIW12A39-6S1.html,BCBGeneration Daisy Eyelet Halter Crop Top,https://www.bcbgeneration.com/dw/image/v2/AAXX_PRD/on/demandware.static/-/Sites-bcbgeneration-site-catalog/default/dwc7b6228c/images/large/YIW12A39_6S1.jpg?sw=500&sh=791&sm=fit
5,BCBGeneration Surplice High-Low Top,BCBGeneration,26.99,https://click.linksynergy.com/link?id=qPknzHQ/PmE&offerid=498776.14055837226&type=2&murl=https%3A%2F%2Fwww.bcbgeneration.com%2FZXR14A49-001.html,BCBGeneration Surplice High-Low Top,https://www.bcbgeneration.com/dw/image/v2/AAXX_PRD/on/demandware.static/-/Sites-bcbgeneration-site-catalog/default/dw7f9caf62/images/large/ZXR14A49_001.jpg?sw=500&sh=791&sm=fit
6,BCBGeneration Surplice High-Low Top,BCBGeneration,26.99,https://click.linksynergy.com/link?id=qPknzHQ/PmE&offerid=498776.14055837231&type=2&murl=https%3A%2F%2Fwww.bcbgeneration.com%2FZXR14A49-001.html,BCBGeneration Surplice High-Low Top,https://www.bcbgeneration.com/dw/image/v2/AAXX_PRD/on/demandware.static/-/Sites-bcbgeneration-site-catalog/default/dw7f9caf62/images/large/ZXR14A49_001.jpg?sw=500&sh=791&sm=fit
7,BCBGeneration Surplice High-Low Top,BCBGeneration,26.99,https://click.linksynergy.com/link?id=qPknzHQ/PmE&offerid=498776.14055837229&type=2&murl=https%3A%2F%2Fwww.bcbgeneration.com%2FZXR14A49-001.html,BCBGeneration Surplice High-Low Top,https://www.bcbgeneration.com/dw/image/v2/AAXX_PRD/on/demandware.static/-/Sites-bcbgeneration-site-catalog/default/dw7f9caf62/images/large/ZXR14A49_001.jpg?sw=500&sh=791&sm=fit
8,BCBGeneration Back Lace-Up Legging,BCBGeneration,29.0,https://click.linksynergy.com/link?id=qPknzHQ/PmE&offerid=498776.14055837158&type=2&murl=https%3A%2F%2Fwww.bcbgeneration.com%2FBGEN1001-001.html,BCBGeneration Back Lace-Up Legging,https://www.bcbgeneration.com/dw/image/v2/AAXX_PRD/on/demandware.static/-/Sites-bcbgeneration-site-catalog/default/dw329caf6b/images/large/BGEN1001_001.jpg?sw=500&sh=791&sm=fit
9,BCBGeneration High-Low Mesh Tank,BCBGeneration,24.0,https://click.linksynergy.com/link?id=qPknzHQ/PmE&offerid=498776.14055837165&type=2&murl=https%3A%2F%2Fwww.bcbgeneration.com%2FBGEN2003-001.html,BCBGeneration High-Low Mesh Tank,https://www.bcbgeneration.com/dw/image/v2/AAXX_PRD/on/demandware.static/-/Sites-bcbgeneration-site-catalog/default/dw89527da4/images/large/BGEN2003_001.jpg?sw=500&sh=791&sm=fit
